county,station_name,name,height(m),easting,northing,latitude,longitude,open_year,close_year
Carlow,375,OAK PARK,62,273000,179500,52.86111,-6.91528,2003,(null)
Cavan,675,BALLYHAISE,78,245200,311600,54.05139,-7.30972,2003,(null)
Clare,518,SHANNON AIRPORT,15,137900,160300,52.69028,-8.91806,1937,(null)
Cork,3402,SHERKIN ISLAND,20,100820,25760,51.47639,-9.42833,1972,(null)
Cork,1075,ROCHES POINT,40,182779,60625,51.79306,-8.24444,2004,(null)
Cork,3904,CORK AIRPORT,155,166500,66200,51.84722,-8.48611,1961,(null)
Cork,575,MOORE PARK,46,181900,101400,52.16389,-8.26389,2003,(null)
Donegal,1575,MALIN HEAD,20,241939,458562,55.37194,-7.33917,2009,(null)
Donegal,2075,FINNER,33,184300,360635,54.49389,-8.24306,2010,(null)
Dublin,532,DUBLIN AIRPORT,71,316900,243400,53.42778,-6.24083,1939,(null)
Dublin,3723,CASEMENT,91,304100,229500,53.30556,-6.43889,1944,(null)
Galway,1875,ATHENRY,40,147659,226804,53.28917,-8.78556,2010,(null)
Galway,275,MACE HEAD,21,73400,232276,53.32583,-9.90083,2003,(null)
Kerry,2275,VALENTIA OBSERVATORY,24,45940,78555,51.93833,-10.24083,2010,(null)
Mayo,2375,BELMULLET,9,69170,332818,54.2275,-10.00694,2012,(null)
Mayo,2175,CLAREMORRIS,68,134523,273883,53.71083,-8.9925,2010,(null)
Mayo,4935,KNOCK AIRPORT,201,146783,296363,53.90611,-8.81722,1986,(null)
Mayo,1175,NEWPORT,22,96731,298267,53.92361,-9.57278,2005,(null)
Meath,1375,DUNSANY,83,288898,252606,53.51583,-6.66,2006,(null)
Roscommon,1975,MT DILLON,39,201306,275240,53.72694,-7.98083,2003,(null)
Tipperary,1475,GURTEEN,75,199466,198376,53.035,-8.00861,2008,(null)
Westmeath,875,MULLINGAR,101,243000,254300,53.53722,-7.36222,2002,(null)
Wexford,1775,JOHNSTOWN CASTLE 2,62,302631,117200,52.29778,-6.49667,2009,(null)
